hash,text,entities,pred
07a589a336496fb20e90e9eef479878e202a01d8cb6fb08bee2cba4ee1740331,"Мета роботи - дослідження хімічного режиму підземних вод , які використовуються для напування тварин у західній біогеохімічній зоні України .","[{""label"": ""LOC"", ""text"": ""України""}]","[{""label"": ""LOC"", ""text"": ""західній біогеохімічній зоні України""}, {""label"": ""ORG"", ""text"": ""України""}]"
896668298d2d5e67605947064a41e4ed855f41069245d305a0b7567fa27e470f,Матеріали і методи,[],[]
df9f148f403375a0433032303bb9247f635e66fe3c313e1ca5c10a4129165836,"Дослідження проводили впродовж 2011-2012 рр . у чотирьох господарствах Волинської та Львівської областей України : СГПП « Рать » та СГТЗВО « Городгаце-2 » Луцького району , ПОСП ім . І . Франка Горохівського району , приватній агрофірмі « Білий Стік » ( 1-ше відділення - с . Комарів ; 2-ге - с . Волиця ) Сокальського району Львівської області .","[{""label"": ""PERIOD"", ""text"": ""2011-2012 рр .""}, {""label"": ""LOC"", ""text"": ""Волинської та Львівської областей""}, {""label"": ""LOC"", ""text"": ""України""}, {""label"": ""ORG"", ""text"": ""СГПП « Рать »""}, {""label"": ""ORG"", ""text"": ""СГТЗВО « Городгаце-2 »""}, {""label"": ""LOC"", ""text"": ""Луцького району""}, {""label"": ""ORG"", ""text"": ""ПОСП ім . І . Франка""}, {""label"": ""LOC"", ""text"": ""Горохівського району""}, {""label"": ""ORG"", ""text"": ""Білий Стік""}, {""label"": ""LOC"", ""text"": ""с . Комарів""}, {""label"": ""LOC"", ""text"": ""с . Волиця""}, {""label"": ""LOC"", ""text"": ""Сокальського району""}, {""label"": ""LOC"", ""text"": ""Львівської області""}]","[{""label"": ""PERIOD"", ""text"": ""2011-2012""}, {""label"": ""LOC"", ""text"": ""Львівської області""}, {""label"": ""ORG"", ""text"": ""СГПП « Рать""}, {""label"": ""ORG"", ""text"": ""СГТЗВО « Городгаце-2""}, {""label"": ""ORG"", ""text"": ""ПОСП ім . І . Франка""}]"
06896401fb5e76f14843c3a5317358ab9c6f7533dbc0098e89b600ca0b93ead7,Господарства розташовані в західній біогеохімічній зоні України .,"[{""label"": ""LOC"", ""text"": ""України""}]","[{""label"": ""LOC"", ""text"": ""західній біогеохімічній зоні України""}]"
e645e6b7300aeadb5360f6260630e4cdb436ddb82c074106966aa739e0daed6c,"Проби води для напування тварин у кожному з господарств відбирали зі свердловини й напувалки посезонно , відповідно до чинної методики .",[],[]
7121888d42f2c36b10b7185200418d05341e93767bdedce77b2634b5afcfc80d,Воду досліджували методом напувальних проб ( п = 3 ) у ДУ « Волинська регіональна державна лабораторія ветеринарної медицини » за загальноприйнятими методиками .,"[{""label"": ""ORG"", ""text"": ""ДУ « Волинська регіональна державна лабораторія ветеринарної медицини »""}]",[]
421d78bac1c4b03e9e3cdb242e5d4d95556d32a997b64be9bd613829882bad39,Вміст важких металів у воді визначали у Київській міській державній лабораторії ветеринарної медицини методом атомно-адсорбційної спектрофотометрії .,"[{""label"": ""ORG"", ""text"": ""Київській міській державній лабораторії ветеринарної медицини""}]","[{""label"": ""JOB"", ""text"": ""методом атомно-адсорбційної спектрофотометрії""}]"
4b18d5ec0e935cbfef7cc462e79684c5bedf3def92462583717fe8870c4b21ec,Головні іони та сольовий склад води аналізували за формулою М . Г . Курлова .,"[{""label"": ""PERS"", ""text"": ""М . Г . Курлова""}]","[{""label"": ""PERS"", ""text"": ""М""}, {""label"": ""PERS"", ""text"": ""Г""}]"
50025845b8441fd649784bf7695f05c0fbfcb2d54a5991f07f1d0566944885c8,"Якість води оцінювали за Державними санітарними нормами та правилами « Гігієнічні вимоги до води питної , призначеної для споживання людиною » ( ДСанПіН 2.2.4-171-10 ) .","[{""label"": ""MISC"", ""text"": ""Державними санітарними нормами та правилами « Гігієнічні вимоги до води питної , призначеної для споживання людиною »""}, {""label"": ""MISC"", ""text"": ""ДСанПіН 2.2.4-171-10""}]",[]
e3dafdaa7eea4140351a9b0f2efc6635a92aa2e8a23b2fb4299c471619c4c85a,Експериментальний матеріал було оброблено статистично . У Чернівцях завершилися змагання Кубка України з боксу серед жінок і чемпіонат країни серед молоді .,"[{""label"": ""LOC"", ""text"": ""Чернівцях""}, {""label"": ""MISC"", ""text"": ""Кубка України""}]","[{""label"": ""LOC"", ""text"": ""Чернівцях""}, {""label"": ""ORG"", ""text"": ""Кубка України з боксу серед жінок""}]"
17e13f47cd00b47392956fdf908d9430c923c2b94e0a7b72d2e890f7b434357a,"П’ятиденний марафон жіночого боксу зібрав у ФОК « Олімпія » двісті кращих спортсменок України у трьох вікових категоріях : юніорки , молодь та дорослі .","[{""label"": ""ORG"", ""text"": ""ФОК « Олімпія »""}, {""label"": ""JOB"", ""text"": ""спортсменок""}, {""label"": ""LOC"", ""text"": ""України""}]","[{""label"": ""LOC"", ""text"": ""ФОК « Олімпія »""}, {""label"": ""ORG"", ""text"": ""України""}]"
7a92b01138bc8ea40d1547fcc81a9e5f916c6a620405039d3450391314e6c5cc,Вихованки заслуженого тренера України Віктора Рогатіна показали видовищні та напружені поєдинки .,"[{""label"": ""JOB"", ""text"": ""тренера""}, {""label"": ""LOC"", ""text"": ""України""}, {""label"": ""PERS"", ""text"": ""Віктора Рогатіна""}]","[{""label"": ""PERS"", ""text"": ""Віктора Рогатіна""}, {""label"": ""JOB"", ""text"": ""заслуженого тренера""}]"
0928f5ae6d3f1d6ba080afeca128cb539e36ac2054d9c999afab1d4c9d4569de,У ваговій категорії до 51 кг золоту нагороду виборола ковельчанка – заслужений майстер спорту України Тетяна Коб .,"[{""label"": ""QUANT"", ""text"": ""51 кг""}, {""label"": ""LOC"", ""text"": ""України""}, {""label"": ""PERS"", ""text"": ""Тетяна Коб""}]","[{""label"": ""PERS"", ""text"": ""Тетяна Коб""}, {""label"": ""JOB"", ""text"": ""ковельчанка""}, {""label"": ""ORG"", ""text"": ""заслужений майстер спорту України""}]"
11141e20aa32cce02339dc1a8b433a6cd8301d72e654c5d3bd7fdca2456c9cdf,"Срібна медаль у ваговій категорії до 75 кг дісталась майстру спорту України Олександрі Федіс ( минулого року вона була володаркою Кубка України у своїй ваговій категорії ) , – повідомили у Ковельському міськвиконкомі . Тетяна Коб у фіналі зустрілась з киянкою Сніжаною Холодковою .","[{""label"": ""QUANT"", ""text"": ""75 кг""}, {""label"": ""JOB"", ""text"": ""майстру спорту""}, {""label"": ""LOC"", ""text"": ""України""}, {""label"": ""PERS"", ""text"": ""Олександрі Федіс""}, {""label"": ""MISC"", ""text"": ""Кубка України""}, {""label"": ""ORG"", ""text"": ""Ковельському міськвиконкомі""}, {""label"": ""PERS"", ""text"": ""Тетяна Коб""}, {""label"": ""PERS"", ""text"": ""Сніжаною Холодковою""}]","[{""label"": ""PERS"", ""text"": ""Олександрі Федіс""}, {""label"": ""PERS"", ""text"": ""Тетяна Коб""}, {""label"": ""PERS"", ""text"": ""Сніжаною Холодковою""}, {""label"": ""ORG"", ""text"": ""України""}, {""label"": ""ORG"", ""text"": ""Ковельському міськвиконкомі""}]"
53b7dd46f9a08b3d9e364a0d8e16cb0667a0c7fa4c5d182254f1a10266ce3ba7,"Титулована ковельська спортсменка , призерка чемпіонатів Європи та світу , підтвердила свій високий рівень підготовки .","[{""label"": ""JOB"", ""text"": ""спортсменка""}, {""label"": ""LOC"", ""text"": ""Європи""}]",[]
16c881cf4791be51c07635ef3a11d2d19ce476224d586bcf6f75d89535fbfe2a,Тож судді віддали перевагу Тетяні .,"[{""label"": ""JOB"", ""text"": ""судді""}, {""label"": ""PERS"", ""text"": ""Тетяні""}]",[]
d72d3fa87385560263788dc3f570f6bfce1e63998a09aafde81ab1d6b1cfb634,"Нагадаємо , що вона є чемпіонкою Європи 2009 року , призеркою чемпіонату світу 2010 року , семиразовою чемпіонкою України та восьмиразовою володаркою Кубка України .","[{""label"": ""LOC"", ""text"": ""Європи""}, {""label"": ""DATE"", ""text"": ""2009 року""}, {""label"": ""DATE"", ""text"": ""2010 року""}, {""label"": ""LOC"", ""text"": ""України""}, {""label"": ""MISC"", ""text"": ""Кубка України""}]","[{""label"": ""LOC"", ""text"": ""Європи""}, {""label"": ""DATE"", ""text"": ""2009 року""}, {""label"": ""ORG"", ""text"": ""України""}, {""label"": ""ORG"", ""text"": ""Кубка України""}]"
7bebe25c42ad0aafbf94ed95ebd89c707a44403eef28aee510864af4b9127797,Тож цьогорічна її перемога принесла черговий трофей .,[],[]
9bcd6598765cd6956ab284a4400ab6000adda4392d30a6413094685f21d4ba1b,Усього впродовж п’яти днів змагань відбулося 122 поєдинки .,"[{""label"": ""PERIOD"", ""text"": ""п’яти днів""}]",[]
1a27676c5809423e7b85773955c626564acbaffd7d87f04ae916c548667f9583,"У загальнокомандному заліку перемогу здобула команда киян ( 7 перемог ) , на другій сходинці – Волинська та Харківська область ( по 5 ) , а на третій – Чернігівська область ( 4 ) . Цікаву і пізнавальну подорож місцями , де народився та виріс видатний український поет Тарас Шевченко , минулого тижня влаштував департамент культури і туризму Кіровоградської ОДА .","[{""label"": ""LOC"", ""text"": ""Волинська та Харківська область""}, {""label"": ""LOC"", ""text"": ""Чернігівська область""}, {""label"": ""JOB"", ""text"": ""поет""}, {""label"": ""PERS"", ""text"": ""Тарас Шевченко""}, {""label"": ""DATE"", ""text"": ""минулого тижня""}, {""label"": ""ORG"", ""text"": ""Кіровоградської ОДА""}]","[{""label"": ""PERS"", ""text"": ""Тарас Шевченко""}, {""label"": ""ORG"", ""text"": ""департамент культури і туризму Кіровоградської ОДА""}]"
07c959d1999181980a8edf39a399f7c3a1053ebcebe9edb566c9d186ee55773d,"Учасники туру мали змогу відвідати населені пункти Кіровоградщини і Черкащини , де свого часу побував Кобзар , а також ознайомитися з експозиціями місцевих музеїв , присвячених його пам’яті .","[{""label"": ""LOC"", ""text"": ""Кіровоградщини""}, {""label"": ""LOC"", ""text"": ""Черкащини""}, {""label"": ""PERS"", ""text"": ""Кобзар""}]","[{""label"": ""LOC"", ""text"": ""Кіровоградщини""}, {""label"": ""LOC"", ""text"": ""Черкащини""}, {""label"": ""PERS"", ""text"": ""Кобзар""}]"
9826707399fe2a9776b3199d75120d070aa11fb029dc3b06d78756362e1b106b,Першою зупинкою в мандрівці Шевченковими стежками стало село Моринці Черкаської області – мала батьківщина письменника .,"[{""label"": ""PERS"", ""text"": ""Шевченковими""}, {""label"": ""LOC"", ""text"": ""Моринці""}, {""label"": ""LOC"", ""text"": ""Черкаської області""}, {""label"": ""JOB"", ""text"": ""письменника""}]","[{""label"": ""PERS"", ""text"": ""Шевченковими""}, {""label"": ""LOC"", ""text"": ""село Моринці""}, {""label"": ""LOC"", ""text"": ""Черкаської області""}]"
2f4d57514531bad7c67c1991908108e30587a285f9181276645060a660402432,"Сьогодні тут розташований музейний комплекс , основою якого є реконструйована селянська хатина .",[],[]
11d8b39aca56e85315a083cf7a567a716f2e5e0ff2ed45e6baa027a7fbc9fd3c,Саме у такій хатці-мазанці під очеретяним дахом у 1814 році з’явився на світ Т . Шевченко .,"[{""label"": ""DATE"", ""text"": ""1814 році""}, {""label"": ""PERS"", ""text"": ""Т . Шевченко""}]","[{""label"": ""PERS"", ""text"": ""Шевченко""}]"
8067ce409740d8f66457db4a7037852fa5bffd623f3f0ace383c0f6b06e827df,"Садиба відтворена за детальним описом шевченкознавця Олександра Кониського з ретельним дотриманням технологій й усіх особливостей народного будівництва , характерного для цієї місцевості й періоду .","[{""label"": ""PERS"", ""text"": ""Олександра Кониського""}]","[{""label"": ""PERS"", ""text"": ""Олександра Кониського""}]"
7439b9457265c772c645c5ae00a03ebe74450b095e130c0d366e50c7bc9117be,Інтер’єр реалістично відтворює скромний побут багатодітної родини Шевченків .,"[{""label"": ""PERS"", ""text"": ""Шевченків""}]","[{""label"": ""PERS"", ""text"": ""Шевченків""}]"
b616925887ef9c60c0d3879c40e08656299f666b418ef377657cbfa67a51009b,"А за хатою розгорнувся чудовий вид на яр , засаджений фруктовими деревами .",[],[]
8ce5bd0e8c21286b9c6ae551a656075c413ce0cdc788f6ce4ceaf218394ffe19,"Тут же , біля садиби , встановлено пам’ятник Катерині Бойко ( мамі поета ) з малим Тарасом на руках .","[{""label"": ""PERS"", ""text"": ""Катерині Бойко""}, {""label"": ""JOB"", ""text"": ""поета""}, {""label"": ""PERS"", ""text"": ""Тарасом""}]","[{""label"": ""PERS"", ""text"": ""Катерині Бойко""}, {""label"": ""PERS"", ""text"": ""Тарас""}]"
4809e572f76d38c881758f5f43bcc4bb52a207c5512e40a7d116f5eb8ffdc43f,Дитинство Кобзаря минуло у селі Кирилівка ( з 1929 року – село Шевченкове Звенигородського району ) .,"[{""label"": ""PERS"", ""text"": ""Кобзаря""}, {""label"": ""LOC"", ""text"": ""Кирилівка""}, {""label"": ""DATE"", ""text"": ""1929 року""}, {""label"": ""LOC"", ""text"": ""Шевченкове Звенигородського району""}]","[{""label"": ""LOC"", ""text"": ""село Шевченкове""}, {""label"": ""LOC"", ""text"": ""Звенигородського району""}]"
15ca212df85768fcd3ddd9f07b81a1297f583026d4b24fa1aaed8d24972188f3,"Тут , на місці хатини , в якій мешкала його родина , ще в 1908 році було встановлено перший пам’ятний знак – кам’яні жорна з написом « Тут стояла хата Тараса Шевченка » .","[{""label"": ""DATE"", ""text"": ""1908 році""}, {""label"": ""PERS"", ""text"": ""Тараса Шевченка""}]","[{""label"": ""PERS"", ""text"": ""Тараса Шевченка""}, {""label"": ""DATE"", ""text"": ""1908 році""}]"
c9d4ef260ac9787757df547d7f37b1f66f03aaad8fc869f2273ec9b3044259c7,А вже в 1939 році відкрився літературно-меморіальний музей .,"[{""label"": ""DATE"", ""text"": ""1939 році""}, {""label"": ""ORG"", ""text"": ""літературно-меморіальний музей""}]","[{""label"": ""DATE"", ""text"": ""1939 році""}]"
8abab4ff04e574a04f7aae0bdd64c12f63887a12abc9547f88ec8457f9c9ff44,"Наразі в місцевих музейних залах представлені унікальні експонати , пов'язані з дитячими роками і творчими здобутками Шевченка - художника .","[{""label"": ""PERS"", ""text"": ""Шевченка""}, {""label"": ""JOB"", ""text"": ""художника""}]","[{""label"": ""PERS"", ""text"": ""Шевченка""}, {""label"": ""JOB"", ""text"": ""художник""}]"
06a4127bbf6ecc7a301e2e26483ef8803a877e7ba249418b62185ebfedecc931,"Зокрема — унікальні меблі з хати родини Шевченка та з маєтку пана Енгельгарта , у якого служив малий Тарас .","[{""label"": ""PERS"", ""text"": ""Шевченка""}, {""label"": ""PERS"", ""text"": ""Енгельгарта""}, {""label"": ""PERS"", ""text"": ""Тарас""}]","[{""label"": ""PERS"", ""text"": ""Шевченка""}, {""label"": ""PERS"", ""text"": ""Енгельгарта""}, {""label"": ""PERS"", ""text"": ""Тарас""}]"
237dae96e325fbc2d98429752fd20f0bf7d6084dfbbdc7047ea811dc57e3672b,"А кожну музейну залу прикрашають репродукції картин Тараса Григоровича , у кожній з яких живе українське село і незламний народний дух .","[{""label"": ""PERS"", ""text"": ""Тараса Григоровича""}]","[{""label"": ""PERS"", ""text"": ""Тараса Григорович""}]"
a742b6879f3a8887825515ca0f1db1babe56109e8c00608ee49fafdc419b5686,У 1989 році на честь 175-р іччя від дня народження поета на подвір’ї музею було збудовано точну копію його рідної хати .,"[{""label"": ""DATE"", ""text"": ""1989 році""}, {""label"": ""JOB"", ""text"": ""поета""}]","[{""label"": ""DATE"", ""text"": ""1989 році""}]"
8e4382575f834bd6c0382cf77a9130502275a214e3b2670bafdfe55ccf5b4dc8,"Детально відтворити садибу вдалося завдяки малюнку , автором якого був сам Тарас Шевченко .","[{""label"": ""PERS"", ""text"": ""Тарас Шевченко""}]",[]
c781d1b95ecbdbbe116fe8ac20105c9cf9cf4abbe8472f57c242564ccac64bf9,"Свого часу , ще малим , побував Кобзар і на Кіровоградщині .","[{""label"": ""PERS"", ""text"": ""Кобзар""}, {""label"": ""LOC"", ""text"": ""Кіровоградщині""}]","[{""label"": ""PERS"", ""text"": ""Кобзар""}, {""label"": ""LOC"", ""text"": ""Кіровоградщині""}]"
cede0b87d0a4c718fd22eaa5049a0d7a2b48ba482c33598dbc6e5543c7083b95,"Подорожуючи з батьком- чумаком , він завітав до Єлисаветграду .","[{""label"": ""JOB"", ""text"": ""чумаком""}, {""label"": ""LOC"", ""text"": ""Єлисаветграду""}]","[{""label"": ""LOC"", ""text"": ""Єлисаветграду""}]"
f87764cc17090c7648e07c7ce07b2fc51829b6ded496d0e4552b7b650f70110d,Пізніше свої спогади про це Шевченко опише в поемі « Наймичка » .,"[{""label"": ""PERS"", ""text"": ""Шевченко""}, {""label"": ""ART"", ""text"": ""Наймичка""}]","[{""label"": ""PERS"", ""text"": ""Шевченко""}, {""label"": ""PERS"", ""text"": ""Наймичка""}]"
05f8b9948644bc9c3465b3c49de60e9dfa6b294f4b8ea5ce9cd5b37b34e1ed7f,Сьогодні в Знам’янці проживають нащадки поета — родина Шкоди .,"[{""label"": ""LOC"", ""text"": ""Знам’янці""}, {""label"": ""PERS"", ""text"": ""Шкоди""}]",[]
07d722ead4e93d0f7ab8ceb01699bc71bfbe127c4ba70b10850a6dcdc84d10de,На їх честь у краєзнавчому музеї в місті облаштовано спеціальний тематичну філію « Кобзарева світлиця » .,"[{""label"": ""MISC"", ""text"": ""Кобзарева світлиця""}]",[]
4094de2a9548b7a09da1e43e011893144daf407d6252260fea7b2e0b95f0c80d,"Варто зазначити , що нащадки Кобзаря , зокрема В’ячеслав і Євген Шкода , долучилися до створення музейної експозиції , допомігши музейникам створити генеалогічне дерево Тараса Шевченка , а також передавши на зберігання до фондів його книги та картини . Під стелею розгойдувалася потужна лампа , на стінах висіли вижовклі заводські плакати й кілька почесних грамот , отриманих за успіхи в греко-римській боротьбі .","[{""label"": ""PERS"", ""text"": ""Кобзаря""}, {""label"": ""PERS"", ""text"": ""В’ячеслав і Євген Шкода""}, {""label"": ""PERS"", ""text"": ""Тараса Шевченка""}]","[{""label"": ""PERS"", ""text"": ""Тараса Шевченка""}]"
0e4279a9482016788ff0a28eaaabbe41af1ce12bbb40d153b8aef9831f488080,"В майстерні пахло фарбою , лаком і старим деревом , а ще — чужими помешканнями , з яких притягувалися сюди для ремонту й реставрації крісла , стільці , шафи та книжкові полиці .",[],[]
80d9a2426ca13e096ec80c1968a9d3eb9681cfeb2df14328c411b336bbe9a0c0,"Зранку в майстерні відчинялися вікна , що виходили на подвір’я , заросле травою та диким часником .",[],[]
3af84f0212e839e8bc9c531d4e9c25a33bd39de4bab6e55a92503517c354682d,Приміщення наповнювалося повітрям і глухими звуками вулиці .,[],[]
c327a73358a572184d735d93d9aa80e0e7a72bbf5a781d754a6aa3e838462c81,"На подвір’ї росли покручені яблуні , під ними робітники спорудили дві лавки , на яких також можна було спати .",[],[]
a3bc78757f8689bf0c1794be3e0a5c3ac7c363764657ed4a42efa91b28b9c649,"Ще далі , за деревами , стояли покинуті прибудови , втім , продертися туди за плющем і травою було не так просто .",[],[]
10f1d9c715551cde9ba76f8c457ad6aab94feb0b2aba1cbb5811cb15d765928f,"А вже за ними громадилась цегляна стіна , частина давніших будівель , свого часу зруйнованих і забутих .",[],[]
b2694accc5d518adbe080957444c71a79f6f24d570cd59dc543e99c82dd1301e,"Стіна обривалася на широку вулицю , що тяглася вгору , повз політехнічний , у бік центру .",[],[]
0906d9b206846e217f360bbd31d710f0df642c780a001edb0c2b32213c3c7f50,"Влітку квартал зовсім порожнів , і подвір’я стояли тихі , як церкви в понеділок .",[],"[{""label"": ""LOC"", ""text"": ""Влітку""}]"
7e1cfdcc430f3d623c2730afcf850ab3bf32a8175c1719e7ae59a4013052397f,"Роботи ставало менше , працівники слухали радіо на мобільних телефонах . Маріо працював тут від зими .","[{""label"": ""PERS"", ""text"": ""Маріо""}]","[{""label"": ""PERS"", ""text"": ""Маріо""}, {""label"": ""JOB"", ""text"": ""працював""}]"
d5efd731d3e49dc6a8fc7fe1d7d32419623d370b3165b9c668b887d752c6edd5,"В березні приміщення було вогке , сніг лежав під вікнами до середини квітня , й вони з напарником закушували ним — темним і твердим — вино з паперових пакетів .","[{""label"": ""DATE"", ""text"": ""березні""}]",[]
6dfc0bfe5248e751f3a2012e4eaac72ba534a74e9a7ad73ca701882a90ac9600,"Напарник , Яша , працював у майстерні від самого початку , шефа пам’ятав із вісімдесятих — разом працювали на велосипедному , разом пішли у вільне плавання , потім шеф сів , Яша його вірно чекав , як морячка на пірсі , років десять тому , на початку двохтисячних , шеф відбив підвал і влаштував у ньому реставраційну майстерню .","[{""label"": ""PERS"", ""text"": ""Яша""}, {""label"": ""JOB"", ""text"": ""шефа""}, {""label"": ""DATE"", ""text"": ""вісімдесятих""}, {""label"": ""JOB"", ""text"": ""шеф""}, {""label"": ""PERS"", ""text"": ""Яша""}, {""label"": ""DATE"", ""text"": ""років десять тому""}, {""label"": ""DATE"", ""text"": ""початку двохтисячних""}, {""label"": ""JOB"", ""text"": ""шеф""}]","[{""label"": ""PERS"", ""text"": ""Яша""}, {""label"": ""JOB"", ""text"": ""на велосипедному""}]"
ca47f029d0df98dac6d1a20c354dc6d56c001d6ce999b573ee33ba35f62f5a81,"Сам знаходив замовників , сам щось перекуповував , завозив уночі виловлені речі , приходив зранку з підозрілими клієнтами , легковажно підіймав ціну на старі комоди , з кимось зідзвонювався , когось уникав , мало з ким товаришував , мало кому подобався , мало цим усім переймався .",[],"[{""label"": ""JOB"", ""text"": ""перекуповував""}, {""label"": ""JOB"", ""text"": ""приходив""}, {""label"": ""JOB"", ""text"": ""легковажно підіймав ціну""}, {""label"": ""JOB"", ""text"": ""підіймав ціну""}, {""label"": ""JOB"", ""text"": ""зідзвонювався""}, {""label"": ""JOB"", ""text"": ""уникав""}, {""label"": ""JOB"", ""text"": ""товаришував""}, {""label"": ""JOB"", ""text"": ""подобався""}]"
412548bd1ad5819a015a2ce8543b175f085ed476ee2188dfd83db91990f17948,"Всю роботу робив Яша , який мав золоті руки й залізну печінку .","[{""label"": ""PERS"", ""text"": ""Яша""}]",[]
de56f7d3e83efe3d62dff2a8c0a0837f4798b34d00c60b8ada79657ff98b2941,"Роки , втім , не робили його молодшим , і Яша замовив собі помічника . Шеф чужих не брав , хоча й своїм не довіряв .","[{""label"": ""PERS"", ""text"": ""Яша""}, {""label"": ""JOB"", ""text"": ""Шеф""}]","[{""label"": ""PERS"", ""text"": ""Яша""}]"
