prompt,generated_answer
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
За академіком В . І . Вернадським , природні води належать до складних водних розчинів .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
За академіком В . І . Вернадським , природні води належать до складних водних розчинів .

### Entities:
model
PERS: В . І . Вернадським"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
До них входять макро - й мікроелементи , гази , органічні речовини , мікроорганізми .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
До них входять макро - й мікроелементи , гази , органічні речовини , мікроорганізми .

### Entities:
model
"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Зокрема нині в підземних водах виділено 85 ( зі 105 ) хімічних елементів таблиці Д . І . Менделєєва , які характеризують загальний хімічний стан води , її властивості та визначають наукове й практичне значення .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Зокрема нині в підземних водах виділено 85 ( зі 105 ) хімічних елементів таблиці Д . І . Менделєєва , які характеризують загальний хімічний стан води , її властивості та визначають наукове й практичне значення .

### Entities:
model
PERS: Д . І . Менделєєва"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Є три основні джерела постачання тварин водою - поверхневі відкриті водойми , підземні ґрунтові й напірні ( артезіанські ) води , атмосферні опади .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Є три основні джерела постачання тварин водою - поверхневі відкриті водойми , підземні ґрунтові й напірні ( артезіанські ) води , атмосферні опади .

### Entities:
model
"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Слід також зазначити , що ресурси підземних вод на території України розміщені нерівномірно .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Слід також зазначити , що ресурси підземних вод на території України розміщені нерівномірно .

### Entities:
model
LOC: України"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Найбільше їх зосереджено в північних та західних областях України – Волинській , Київській , Львівській , Рівненській , Чернігівській .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Найбільше їх зосереджено в північних та західних областях України – Волинській , Київській , Львівській , Рівненській , Чернігівській .

### Entities:
model
LOC: України
LOC: Волинській
LOC: Київській
LOC: Львівській
LOC: Рівненській
LOC: Чернігівській"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Потужні запаси невикористаних водних ресурсів є в Харківській області .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Потужні запаси невикористаних водних ресурсів є в Харківській області .

### Entities:
model
LOC: Харківській області"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У попередніх публікаціях ми описували санітарно-гігієнічну характеристику якості води для напування тварин у господарствах західної біогеохімічної зони України .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У попередніх публікаціях ми описували санітарно-гігієнічну характеристику якості води для напування тварин у господарствах західної біогеохімічної зони України .

### Entities:
model
LOC: України"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Слід узяти до уваги той факт , що сучасні технології ведення тваринництва вимагають детальнішого вивчення чинників , які б сприяли отриманню якісної й доступної продукції ( молока , м’яса ) та забезпечували нормальний фізіологічний розвиток тварин і їх відтворення .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Слід узяти до уваги той факт , що сучасні технології ведення тваринництва вимагають детальнішого вивчення чинників , які б сприяли отриманню якісної й доступної продукції ( молока , м’яса ) та забезпечували нормальний фізіологічний розвиток тварин і їх відтворення .

### Entities:
model
"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
На нашу думку , одним з основних критеріїв якості й безпечності продукції тваринництва є саме вода .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
На нашу думку , одним з основних критеріїв якості й безпечності продукції тваринництва є саме вода .

### Entities:
model
"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Мета роботи - дослідження хімічного режиму підземних вод , які використовуються для напування тварин у західній біогеохімічній зоні України .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Мета роботи - дослідження хімічного режиму підземних вод , які використовуються для напування тварин у західній біогеохімічній зоні України .

### Entities:
model
LOC: України"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Матеріали і методи

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Матеріали і методи

### Entities:
model
"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Дослідження проводили впродовж 2011-2012 рр . у чотирьох господарствах Волинської та Львівської областей України : СГПП « Рать » та СГТЗВО « Городгаце-2 » Луцького району , ПОСП ім . І . Франка Горохівського району , приватній агрофірмі « Білий Стік » ( 1-ше відділення - с . Комарів ; 2-ге - с . Волиця ) Сокальського району Львівської області .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Дослідження проводили впродовж 2011-2012 рр . у чотирьох господарствах Волинської та Львівської областей України : СГПП « Рать » та СГТЗВО « Городгаце-2 » Луцького району , ПОСП ім . І . Франка Горохівського району , приватній агрофірмі « Білий Стік » ( 1-ше відділення - с . Комарів ; 2-ге - с . Волиця ) Сокальського району Львівської області .

### Entities:
model
PERIOD: 2011-2012 рр .
LOC: Волинської та Львівської областей України
ORG: СГПП « Рать »
ORG: СГТЗВО « Городгаце-2 »
LOC: Луцького району
ORG: ПОСП ім . І . Франка
LOC: Горохівського району
ORG: Білий Стік
LOC: Комарів
LOC: Волиця
LOC: Сокальського району Львівської області"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Господарства розташовані в західній біогеохімічній зоні України .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Господарства розташовані в західній біогеохімічній зоні України .

### Entities:
model
LOC: України"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Проби води для напування тварин у кожному з господарств відбирали зі свердловини й напувалки посезонно , відповідно до чинної методики .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Проби води для напування тварин у кожному з господарств відбирали зі свердловини й напувалки посезонно , відповідно до чинної методики .

### Entities:
model
"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Воду досліджували методом напувальних проб ( п = 3 ) у ДУ « Волинська регіональна державна лабораторія ветеринарної медицини » за загальноприйнятими методиками .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Воду досліджували методом напувальних проб ( п = 3 ) у ДУ « Волинська регіональна державна лабораторія ветеринарної медицини » за загальноприйнятими методиками .

### Entities:
model
ORG: ДУ « Волинська регіональна державна лабораторія ветеринарної медицини »"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вміст важких металів у воді визначали у Київській міській державній лабораторії ветеринарної медицини методом атомно-адсорбційної спектрофотометрії .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вміст важких металів у воді визначали у Київській міській державній лабораторії ветеринарної медицини методом атомно-адсорбційної спектрофотометрії .

### Entities:
model
ORG: Київській міській державній лабораторії ветеринарної медицини"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Головні іони та сольовий склад води аналізували за формулою М . Г . Курлова .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Головні іони та сольовий склад води аналізували за формулою М . Г . Курлова .

### Entities:
model
PERS: М . Г . Курлова"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Якість води оцінювали за Державними санітарними нормами та правилами « Гігієнічні вимоги до води питної , призначеної для споживання людиною » ( ДСанПіН 2.2.4-171-10 ) .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Якість води оцінювали за Державними санітарними нормами та правилами « Гігієнічні вимоги до води питної , призначеної для споживання людиною » ( ДСанПіН 2.2.4-171-10 ) .

### Entities:
model
MISC: Державними санітарними нормами та правилами « Гігієнічні вимоги до води питної , призначеної для споживання людиною »
DOC: ДСанПіН 2.2.4-171-10"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Експериментальний матеріал було оброблено статистично . У Чернівцях завершилися змагання Кубка України з боксу серед жінок і чемпіонат країни серед молоді .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Експериментальний матеріал було оброблено статистично . У Чернівцях завершилися змагання Кубка України з боксу серед жінок і чемпіонат країни серед молоді .

### Entities:
model
LOC: Чернівцях
ORG: Кубка України з боксу"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
П’ятиденний марафон жіночого боксу зібрав у ФОК « Олімпія » двісті кращих спортсменок України у трьох вікових категоріях : юніорки , молодь та дорослі .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
П’ятиденний марафон жіночого боксу зібрав у ФОК « Олімпія » двісті кращих спортсменок України у трьох вікових категоріях : юніорки , молодь та дорослі .

### Entities:
model
ORG: ФОК « Олімпія »
LOC: України"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вихованки заслуженого тренера України Віктора Рогатіна показали видовищні та напружені поєдинки .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вихованки заслуженого тренера України Віктора Рогатіна показали видовищні та напружені поєдинки .

### Entities:
model
JOB: тренера
LOC: України
PERS: Віктора Рогатіна"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У ваговій категорії до 51 кг золоту нагороду виборола ковельчанка – заслужений майстер спорту України Тетяна Коб .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У ваговій категорії до 51 кг золоту нагороду виборола ковельчанка – заслужений майстер спорту України Тетяна Коб .

### Entities:
model
QUANT: 51 кг
LOC: України
PERS: Тетяна Коб"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Срібна медаль у ваговій категорії до 75 кг дісталась майстру спорту України Олександрі Федіс ( минулого року вона була володаркою Кубка України у своїй ваговій категорії ) , – повідомили у Ковельському міськвиконкомі . Тетяна Коб у фіналі зустрілась з киянкою Сніжаною Холодковою .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Срібна медаль у ваговій категорії до 75 кг дісталась майстру спорту України Олександрі Федіс ( минулого року вона була володаркою Кубка України у своїй ваговій категорії ) , – повідомили у Ковельському міськвиконкомі . Тетяна Коб у фіналі зустрілась з киянкою Сніжаною Холодковою .

### Entities:
model
QUANT: 75 кг
JOB: майстру спорту
LOC: України
PERS: Олександрі Федіс
DATE: минулого року
ORG: Кубка України
ORG: Ковельському міськвиконкомі
PERS: Тетяна Коб
PERS: Сніжаною Холодковою"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Титулована ковельська спортсменка , призерка чемпіонатів Європи та світу , підтвердила свій високий рівень підготовки .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Титулована ковельська спортсменка , призерка чемпіонатів Європи та світу , підтвердила свій високий рівень підготовки .

### Entities:
model
LOC: Європи
LOC: світу"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тож судді віддали перевагу Тетяні .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тож судді віддали перевагу Тетяні .

### Entities:
model
JOB: судді
PERS: Тетяні"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Нагадаємо , що вона є чемпіонкою Європи 2009 року , призеркою чемпіонату світу 2010 року , семиразовою чемпіонкою України та восьмиразовою володаркою Кубка України .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Нагадаємо , що вона є чемпіонкою Європи 2009 року , призеркою чемпіонату світу 2010 року , семиразовою чемпіонкою України та восьмиразовою володаркою Кубка України .

### Entities:
model
LOC: Європи
DATE: 2009 року
LOC: України
DATE: 2010 року
LOC: України
LOC: Кубка України"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тож цьогорічна її перемога принесла черговий трофей .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тож цьогорічна її перемога принесла черговий трофей .

### Entities:
model
"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Усього впродовж п’яти днів змагань відбулося 122 поєдинки .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Усього впродовж п’яти днів змагань відбулося 122 поєдинки .

### Entities:
model
PERIOD: п’яти днів"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У загальнокомандному заліку перемогу здобула команда киян ( 7 перемог ) , на другій сходинці – Волинська та Харківська область ( по 5 ) , а на третій – Чернігівська область ( 4 ) . Цікаву і пізнавальну подорож місцями , де народився та виріс видатний український поет Тарас Шевченко , минулого тижня влаштував департамент культури і туризму Кіровоградської ОДА .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У загальнокомандному заліку перемогу здобула команда киян ( 7 перемог ) , на другій сходинці – Волинська та Харківська область ( по 5 ) , а на третій – Чернігівська область ( 4 ) . Цікаву і пізнавальну подорож місцями , де народився та виріс видатний український поет Тарас Шевченко , минулого тижня влаштував департамент культури і туризму Кіровоградської ОДА .

### Entities:
model
LOC: Волинська та Харківська область
LOC: Чернігівська область
PERS: Тарас Шевченко
DATE: минулого тижня
ORG: Кіровоградської ОДА"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Учасники туру мали змогу відвідати населені пункти Кіровоградщини і Черкащини , де свого часу побував Кобзар , а також ознайомитися з експозиціями місцевих музеїв , присвячених його пам’яті .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Учасники туру мали змогу відвідати населені пункти Кіровоградщини і Черкащини , де свого часу побував Кобзар , а також ознайомитися з експозиціями місцевих музеїв , присвячених його пам’яті .

### Entities:
model
LOC: Кіровоградщини
LOC: Черкащини
PERS: Кобзар"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Першою зупинкою в мандрівці Шевченковими стежками стало село Моринці Черкаської області – мала батьківщина письменника .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Першою зупинкою в мандрівці Шевченковими стежками стало село Моринці Черкаської області – мала батьківщина письменника .

### Entities:
model
LOC: Моринці
LOC: Черкаської області"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Сьогодні тут розташований музейний комплекс , основою якого є реконструйована селянська хатина .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Сьогодні тут розташований музейний комплекс , основою якого є реконструйована селянська хатина .

### Entities:
model
"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Саме у такій хатці-мазанці під очеретяним дахом у 1814 році з’явився на світ Т . Шевченко .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Саме у такій хатці-мазанці під очеретяним дахом у 1814 році з’явився на світ Т . Шевченко .

### Entities:
model
DATE: 1814 році
PERS: Т . Шевченко"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Садиба відтворена за детальним описом шевченкознавця Олександра Кониського з ретельним дотриманням технологій й усіх особливостей народного будівництва , характерного для цієї місцевості й періоду .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Садиба відтворена за детальним описом шевченкознавця Олександра Кониського з ретельним дотриманням технологій й усіх особливостей народного будівництва , характерного для цієї місцевості й періоду .

### Entities:
model
JOB: шевченкознавця
PERS: Олександра Кониського"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Інтер’єр реалістично відтворює скромний побут багатодітної родини Шевченків .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Інтер’єр реалістично відтворює скромний побут багатодітної родини Шевченків .

### Entities:
model
PERS: Шевченків"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А за хатою розгорнувся чудовий вид на яр , засаджений фруктовими деревами .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А за хатою розгорнувся чудовий вид на яр , засаджений фруктовими деревами .

### Entities:
model
"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тут же , біля садиби , встановлено пам’ятник Катерині Бойко ( мамі поета ) з малим Тарасом на руках .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тут же , біля садиби , встановлено пам’ятник Катерині Бойко ( мамі поета ) з малим Тарасом на руках .

### Entities:
model
PERS: Катерині Бойко
PERS: Тарасом"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Дитинство Кобзаря минуло у селі Кирилівка ( з 1929 року – село Шевченкове Звенигородського району ) .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Дитинство Кобзаря минуло у селі Кирилівка ( з 1929 року – село Шевченкове Звенигородського району ) .

### Entities:
model
PERS: Кобзаря
LOC: Кирилівка
DATE: 1929 року
LOC: Шевченкове
LOC: Звенигородського району"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тут , на місці хатини , в якій мешкала його родина , ще в 1908 році було встановлено перший пам’ятний знак – кам’яні жорна з написом « Тут стояла хата Тараса Шевченка » .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тут , на місці хатини , в якій мешкала його родина , ще в 1908 році було встановлено перший пам’ятний знак – кам’яні жорна з написом « Тут стояла хата Тараса Шевченка » .

### Entities:
model
DATE: 1908 році
PERS: Тараса Шевченка"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А вже в 1939 році відкрився літературно-меморіальний музей .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А вже в 1939 році відкрився літературно-меморіальний музей .

### Entities:
model
DATE: 1939 році"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Наразі в місцевих музейних залах представлені унікальні експонати , пов'язані з дитячими роками і творчими здобутками Шевченка - художника .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Наразі в місцевих музейних залах представлені унікальні експонати , пов'язані з дитячими роками і творчими здобутками Шевченка - художника .

### Entities:
model
PERS: Шевченка"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Зокрема — унікальні меблі з хати родини Шевченка та з маєтку пана Енгельгарта , у якого служив малий Тарас .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Зокрема — унікальні меблі з хати родини Шевченка та з маєтку пана Енгельгарта , у якого служив малий Тарас .

### Entities:
model
PERS: Шевченка
PERS: Енгельгарта
PERS: Тарас"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А кожну музейну залу прикрашають репродукції картин Тараса Григоровича , у кожній з яких живе українське село і незламний народний дух .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А кожну музейну залу прикрашають репродукції картин Тараса Григоровича , у кожній з яких живе українське село і незламний народний дух .

### Entities:
model
PERS: Тараса Григоровича"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У 1989 році на честь 175-р іччя від дня народження поета на подвір’ї музею було збудовано точну копію його рідної хати .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У 1989 році на честь 175-р іччя від дня народження поета на подвір’ї музею було збудовано точну копію його рідної хати .

### Entities:
model
DATE: 1989 році"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Детально відтворити садибу вдалося завдяки малюнку , автором якого був сам Тарас Шевченко .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Детально відтворити садибу вдалося завдяки малюнку , автором якого був сам Тарас Шевченко .

### Entities:
model
PERS: Тарас Шевченко"
"<bos><start_of_turn>user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Свого часу , ще малим , побував Кобзар і на Кіровоградщині .

### Entities:<end_of_turn>
<start_of_turn>model
","user
Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Свого часу , ще малим , побував Кобзар і на Кіровоградщині .

### Entities:
model
PERS: Кобзар
LOC: Кіровоградщині"
