hash,text,entities
90bff3f2b1f8e138ad0c081bdf491fdaa7a4382dd28e7db93dd3eb1b8cc07594,"Разом їли куліш і кашу , говорили про життя , про джуму , про козаків , про батька Сагайдачного і Дорошенка , згадували про Ляща , що за наказом Конецьпольського років десять тому на Великдень вирізав усіх людей , які тільки були в церкві , навіть дітей не милував ( Не бояться люди гріха , де ж то таке робити ... ) , і про війну , про унію ( І навіщо вона здалася ?","[{""label"": ""PERS"", ""text"": ""Сагайдачного""}, {""label"": ""PERS"", ""text"": ""Дорошенка""}, {""label"": ""PERS"", ""text"": ""Ляща""}, {""label"": ""PERS"", ""text"": ""Конецьпольського""}, {""label"": ""DATE"", ""text"": ""років десять тому""}, {""label"": ""MISC"", ""text"": ""Великдень""}]"
c1e43eec80e5d51876556863fffc212f2173adc2325237816e2d90a7751b0b22,І що ж тепер з того буде ?,[]
4839bba5501b63ec50ea5499636b02abf19d853f07f3c62dcce8c94686d631b6,Чи не покарає їх за це Бог ? ) .,"[{""label"": ""PERS"", ""text"": ""Бог""}]"
4d42258859d1f168374c075aaf2435d4a6bcdbcb968bc7b5debba8b22293a4dc,"Пани собі щось там мудрують , а у хлопів чуби тріщать ...",[]
ce6363fbb23b6c4eb9648a940c8bde6c05f5cadb47403da89ffdf34e0d93842a,З усіх сторін обсіли нашого брата вороги і ніяк не дадуть нам спокою .,[]
cf123476a3b3a300c1a1c66202ee8db328627eba950be4136d3169726e24e8c6,"А нам же так мало треба для того , аби просто жити , — клапоть землі й ковток волі .",[]
f05954a89c1f33244f02d8a6a395285de12f4ac660e13385cac205718c9b4a4e,"А натомлені за день дівчата лягали на землю , простягали змучені від роботи руки вздовж тіл і співали щось таке журливе та сердечне , ніби кликали кого з темряви , а він , отой хтось , усе не йшов і не йшов .","[{""label"": ""PERIOD"", ""text"": ""за день""}]"
55f9edb875aa9cc42ab1ed92ab4396d869c1115f667953ecb4636c03eff888ed,"І здавалося , навіть поворухнутись від утоми вже не можуть .",[]
47264f2b0af83943c339cb3ebb2e02cbe892f3e37551cf254e8bed56a3a4012c,"І тільки голоси їхні свідчили про те , що вони живі .",[]
0b0d419f7e934044e2b24a39fee320f632072fd0de163046f4abb8c377183c15,Замовкало тоді все довкола .,[]
a5ec5e69507c024ddbe9c137c462ec889e325eee56415f223ece713731acff5f,"Все слухало лише їх ... і про що б вони не співали : чи про милого , який не прийшов , чи про струєного Гриця , чи про те , як брат із сестрою стали квітами , — це було ... велично .","[{""label"": ""PERS"", ""text"": ""Гриця""}]"
1be5bc60c7201627465297fd9eb39cc1fdd2969ec6dd34990f8089904b17d1a7,"Це була їхня , дівоча молитва , яку , крім них , ніхто не зміг би повторити .",[]
f899389230c249fa65aea29de162367adc12fb97c2fa64d23ee5df5d8f00b1a7,Для чоловіків це було недосяжно .,[]
308c5327762f23adbe35b3bcec95c1686e9136e7380d65085e1ff69715afac65,"Жінки або ті дівчата , що знаходили собі пару , назавжди втрачали цю здатність співати саме так .",[]
d9973e5a5cb9bef9a7657d9d6ee2cb4cbabba6dfe64733f8c6dc858f82164698,Діди співали теж .,[]
3907161e331ff57e8a54740e8ebab61d4645d47bf81cb917bb9cc3a081e4c103,Але не тільки співали .,[]
ce461689969b883a6f2cfccae71585f04d002900e0d2b3b42c21992b7b164e19,"Вони переказували родичам із далеких сіл новини , часом передавали передачі — переважно гроші : « Там , за верстов десять , село є таке , Вербівці називається .","[{""label"": ""LOC"", ""text"": ""Вербівці""}]"
29c48734070cc744c28cf121b7a3550fa3e01a9a4c77082a6cf0d2f0ef7914fd,Там Паляниці живуть .,"[{""label"": ""PERS"", ""text"": ""Паляниці""}]"
46d87db14bf34ae64b9ed9c2721a4335f0550a03197318064d2c542a2d2c0c77,То ви Гната Паляницю спитайте .,"[{""label"": ""PERS"", ""text"": ""Гната Паляницю""}]"
697fbc1187cd51523aa153313a65d16c967baa417480b0075d877e7ae48390a6,"То родич наш , удівець .",[]
5d6082dd7ebe59d509dc53a5acb1c3d9d748cf878aa5e3338362aff507207c43,"Чули , що корову йому грім забив .",[]
5680811ec58e7bd8197027a3ff734a8b52ceab5d5bf6a2cdde95f0255c6df7b2,То ми оце йому тут трохи зібрали .,[]
e5d0ed631c91755304ba0f0ac8b160a94341fe0899e3ad3cf8169ffafe1ff16e,Передасте ? »,[]
d6b1924c923bc0fcd37df0374a8d75d5fd9b1462e04bb4e40ea924d17de83cbe,Старці брали .,[]
89d7535b6e5374c00c4162abf859d2ecb0c3c9c4ce7db880d0cbdeceff1911e9,"Дякували за довіру , перепитували ще щось за тих Паляниць , аби нічого не наплутати .","[{""label"": ""PERS"", ""text"": ""Паляниць""}]"
2d608eba80643338da6143a90224222336e3a34ba540ffcee82466ca057cc045,А Амфібрахій лише дивувався : як ці люди можуть так вірити їм ?,"[{""label"": ""PERS"", ""text"": ""Амфібрахій""}]"
cfa50943f53b52de5dc69b3f1dd7594d8e6f4ff43c23b8147370cc44b8fda8eb,"Простим подорожнім , чужим , незнайомим ...",[]
6b5697c6fc0f6ef319fe34c638ecc91f2daf67e22f604164a959464a1d4c1f5c,"Вони ж можуть просто оминути ті Вербівці , і ніхто й не дізнається , хто вони і куди пішли .","[{""label"": ""LOC"", ""text"": ""Вербівці""}]"
e97848bcde4000837ac4b3103a8c6dc49ec9637db99dd6a443a4c99f8dcbba5a,"Що це — наївність чи безмежна довіра до тих , хто несе слово правди ? « А може , щось йому ще переказати , тому вдівцеві Паляниці ? » — « Перекажіть , що у нас усе добре , а от у дядини його , Одарки , син утопився .","[{""label"": ""PERS"", ""text"": ""Паляниці""}, {""label"": ""PERS"", ""text"": ""Одарки""}]"
a953113e64bdf0baaecdcf3177fb643ea540258b7b2be2b3226b47aca1757030,Вже чималий хлопець був .,[]
ccffd56d268c079da6428dfe7a0dd993bd22f89e9f1dab2413372f3cc9ce2720,Та на все Божа воля .,"[{""label"": ""PERS"", ""text"": ""Божа""}]"
a99927a56f7f6f8609972a65085de07f2ab02fbc99ebbcb09a0901abc156396c,І Ліцінарові не пережили пошесті .,"[{""label"": ""PERS"", ""text"": ""Ліцінарові""}]"
35842e472cc07ffc71294247bc334dc5c593cb3c71e43623e43b8129b42fa27f,"Всіх покосило , вижило тільки мале одне , ще в колисці .",[]
ad82c36d71a57a612f18c702a093a14af195e609f194595c9f48828d1b8332c1,"То люди забрали , там у них сусіди бездітні були ... »",[]
ce951b4d762824bfa537008c8c2112db314e47e9ab28d7e4cc14095bb737f5ee,"Якось наговорили стільки , що й годі було все запам'ятати . Амфібрахій слухав-слухав , а тоді дістав із кишені перо та каламар , пошукав пляшечку з чорнилом і почав усе записувати .","[{""label"": ""PERS"", ""text"": ""Амфібрахій""}]"
3d38a0ef02fa0805db8372884cf070476668cb8ee635faf48738888dcc9a71ea,Тепер точно не наплутають .,[]
a455b8698e662f256e136569ee2f9e0c1c7b34d286c02c510cfd935fcc84ea51,"Паперу в нього було небагато ( та й не купиш же його , бо дорогий ! ) , тому писав дрібненько , скорочував слова , аби лише записати основне .",[]
c38537e2e8810b8f6d476d85932999989ad8ec056c4343157517a9089ba56f98,Так запрацювала їхня « пошта » .,[]
85425dee1624c2fd3fd2147ae5576bf725fc9f1d4758f6f8d94db84efd54a3cf,"Пакуночки вони передавали за призначенням , а листи Амфібрахій зачитував адресатам . Устимко завжди дивувався , що Амфібрахій , виявляється , вміє не лише букви-кузьки на слова перетворювати , а й слова може буквами записувати . Слід зазначити , що корпоративні медіа сприяють поліпшенню результатів компанії не прямо , а опосередковано — через вплив на свідомість відповідної цільової аудиторії ( співробітників , клієнтів , партнерів ) .","[{""label"": ""PERS"", ""text"": ""Амфібрахій""}, {""label"": ""PERS"", ""text"": ""Устимко""}, {""label"": ""PERS"", ""text"": ""Амфібрахій""}]"
959dd147c86e5e118ada2ab89d12b72032a99ec0160fade76aeae8da767821ab,"Вони формують громадську думку , перетворюючи її на своєрідний каталізатор соціальної активності , спрямованої на реалізацію місії компанії , її ринкових завдань , формування корпоративної культури тощо .",[]
90de80e1f6e4d7a10c1299cd3eb0ba3af93241eec3685d43aa6ab4323ef41401,"Особливо чітко ця функція проявляється у корпоративній періодиці , спрямованій насамперед на забезпечення усвідомленої діяльності співробітників компанії .",[]
5a62b29aa5274304b6c15ba6ab9d30764cf2b0fd2f5e9e39f8ea6b48673774b5,"Таким чином , можна сформулювати основні завдання внутрішнього видання : роз'яснення та популяризація місії , стратегії та цілей компанії , формування образів майбутнього , зміцнення корпоративної етики з метою ефективного керування лояльністю , підвищення трудової відданості співробітників , підвищення професійного рівня і загальної поінформованості колективу .",[]
daedbf0663cb82f60e1dc8bff035da3e3d0fe3ee0ed597cbee350bfa8f2909f3,При цьому першочергове завдання будь-якого фірмового часопису як ЗМІ — завоювати довіру та інтерес аудиторії .,"[{""label"": ""MISC"", ""text"": ""ЗМІ""}]"
81b43a44918be66b3266cc92bd093dbfc4c04a0c080e880eaa9ea7aadc8a8dd4,"Головною особливістю аудиторії корпоративної преси є те , що вона представлена сукупністю людей , які споживають інформацію у зв'язку зі своєю виробничою діяльністю .",[]
a33f6954cbb1fc5ad0fe6ba41dbbe0f49ad5fb568c608d2f0e1a5f510b2d1023,"Це означає , що і тематика , і стиль таких видань повинні бути максимально спрямовані на висвітлення життя тієї чи іншої компанії , організації , підприємства .",[]
0b9f1246523a64de2a15844900ed9d8c4883b81ade98665d3bf4e0ba19f9bdbf,Ще одна істотна особливість — неоднорідність цільової аудиторії .,[]
97d61d8d56288eacfe6573f1a0ec7df3a12f0a0afd4d02afdde5831520de3382,"Вона складається із представників різних професій , спеціальностей , соціальних верств : від прибиральника — до генерального директора , але всі вони мають бути однодумцями , сповідувати в рамках своєї виробничої діяльності одні й ті самі принципи та цінності .","[{""label"": ""JOB"", ""text"": ""прибиральника""}, {""label"": ""JOB"", ""text"": ""генерального директора""}]"
6c0bc896c4820d43f0aed1cdd692bf9626cb5a8f8f93d490822c361d8939e0cd,"Не слід забувати , що аудиторія більшості корпоративних видань , котрі зазвичай розповсюджуються безплатно серед співробітників чи клієнтів компанії , стала .",[]
2ec86c0486c0e721583ee70b6d1a2fa118ae9461d17d96ab58bb82f48ef134c7,"З огляду на це позитивним для компанії-видавця є досить простий доступ до комуніката , якому внутрішня газета чи журнал з певною періодичністю лягає на робочий стіл .",[]
422dd7f8c6fce5ae9ef875056097b3adf0100c8f52e9571cf06c918b80d7f037,"Проте існує небезпека , що через брак нагальної потреби боротися за аудиторію фірмове видання може втратити якість , не маючи особливої мотивації в зацікавленні читача , журналістського самовдосконалення , пошуку нових форм .",[]
a57934098cc35715ab21da8bf12f166aefe96a69b3e779916c7797c845dd5c58,"Тепер внутрішні часописи найчастіше розглядають як інструмент формування корпоративних комунікацій , провідник корпоративної ідеології , засіб внутрішнього та зовнішнього PR . Проведене серед керівників 500 найбільших світових корпорацій опитування показало , що до головних цілей корпоративних видань належать утримання наявних клієнтів , керування іміджем компанії , збільшення продажу , мотивування співробітників .",[]
86db7c0f06167bbc0f6f56c73e7f4216df1d610728b59feddc04863b77844a49,"Не викликає сумнівів те , що корпоративні медіа — надзвичайно потужний інструмент корпоративного PR ( як зовнішнього , так і внутрішнього ) , який є важливим елементом бізнес-комунікацій .",[]
8991ceaf4a560f5e20426b2ed5ee756b54b62d00d67b23e6eaba1dc02c3ebc59,"За його допомогою компанія може презентувати свою місію , стратегію , формувати образи майбутнього , керувати лояльністю , підвищувати трудову віддачу колективу , долати кризові та потенційно кризові ситуації , підвищувати професійний рівень і загальну поінформованість співробітників .",[]
fdcdb8364f720c2f3a771b04568d0d5066f31a9fd16886313ee8e7378ad6cee0,Ці думки поділяють експерти в галузі зв'язків із громадськістю : PR відповідає за формування суспільної думки і створення репутації .,[]
8223bca69d41c113c8cb049cca532a43cdf24c214e8b611669c34f0178997c3f,"Що активніший процес рівноправного відкритого діалогу із суспільством , то стабільніша і позитивніша репутація організації .",[]
fcb2ff24a8b894d899687536a5de627b5c6992da8ea4df89bb16f3b794f49cb4,"PR загалом покликаний забезпечувати ефективний діалог із суспільством , формуючи і підтримуючи позитивний образ , репутацію компанії , її послуг і ключових співробітників .",[]
74052a0c269921d114790e686d5e13f3c9bb7d4ae6c44cc22c4a2f178177dd10,"Створюючи модель корпоративного видання , обов'язковим для включення в неї будуть компоненти корпоративної культури , до яких належать : корпоративна ідеологія ; корпоративний імідж ; історії , міфи , легенди компанії ; корпоративні ритуали , традиції ; зовнішній вигляд співробітників , офісів , будівель компанії ; корпоративна символіка ; внутрішньофірмова та зовнішня поведінка , її взаємодія в рамках корпоративної культури .",[]
c6e79db86f088b474c923a2829072e4008167a83c93c5f43d612d72e40c10ba3,"Тож і корпоративні медіа бачаться як важливий специфічний напрям соціокомунікативного процесу , що забезпечує обмін інформаційними потоками не лише всередині компанії , а й зовні .",[]
7bfc42d1124adcfc3d571a55c3aad50fab7aa2f38f940d6f3d0516c70bc56dd3,"Ось чому від якості та ефективності такої комунікації залежить не лише успіх окремої бізнес-організації , а і певною мірою стан інформаційного простору загалом .",[]
ade03044ae9bacc5ca57f4f6b584a546bc4dfbe806a75ab61a7adf42db781296,"Слід зазначити , що внутрішньофірмові ЗМІ активно формують економічну культуру , корпоративні стандарти , моделі взаємодії організацій із громадськістю .","[{""label"": ""MISC"", ""text"": ""ЗМІ""}]"
9b738908c02910ac41bd8ffc226aeba0a689a96bb0cee3354808ffb546ec410c,Тобто йдеться про виконання ними важливих соціальних функцій .,[]
d594ea4a9e165d2a89477282b19ce64341e73dde50c18baf974c11bc2f1f0b61,"Окрім того , корпоративні медіа реалізовують різноманітні прикладні завдання в галузі управління персоналом , формування громадської думки , менеджменту корпоративних комунікацій .",[]
01850ed0ebb7ad85c704541bf45e8dcee54e1b98339270797980b3fff3cc458e,"Передусім це побудова позитивного іміджу компанії , створення єдиного інформаційного поля в рамках підприємства , підвищення ефективності внутрішньокорпоративних комунікацій , що забезпечує усвідомлену діяльність співробітників , впливає на поліпшення результатів діяльності компанії через громадську думку .",[]
e0e3784e7f204439eb7dda023b0305963f4aa0cc8d42e6e24bb63dd8963e5d88,Вивчення діяльності корпоративних медіа під таким ракурсом дає нам змогу виокремити кілька їх основних функцій :,[]
0096aebe524ad245c54703fd8af4bee45ded2354ca863cabb1b6a9f0db58d0b8,1 .,[]
b34771d56aaeb74cab163e296aa2636fbeadd914e8f64233fd12c3cfeed84a70,"Масовоінформаційна . У сучасному інформаційному світі великого значення набуває спеціалізована , локальна інформація , зокрема і корпоративна .",[]
20d0ef4c3b1d20c8835c91439e1dee68960e0ac1fae39071488a32bfc4243c1d,"Корпоративні ж медіа є прямим спеціалізованим каналом , через який повідомлення поширюються на певну вузьку професійну , виробничу , бізнесову аудиторію .",[]
8121fdd049d4d222b78d863cb233fd9435eba6e3174adfa87e0bc7852e5ba7da,Така діяльність містить усі ознаки масової комунікації .,[]
25ee971c9584dc1ff3ea5e8542dc46f07ec7f24cea2298288331d79891896b15,"Корпоративні ЗМІ беруть участь у системних , « коротких » , точкових комунікаціях , які охоплюють переважно невеликі за кількістю , замкнені , згуртовані за професійними та комерційними інтересами групи .","[{""label"": ""MISC"", ""text"": ""ЗМІ""}]"
d4cc8b039b2f316f588fd88bb0da9e1d8233ceba4121fa98b8311f6301191975,"Відгукуючись на їхні запити , фірмові часописи генерують інформаційні потоки і скеровують у потрібне для бізнес-організації русло .",[]
36fb8073d722e4731f45b96094eb5defacf9bdc90ff28eba9195f52b53a7e639,2 .,[]
45cebd4f14b8170ecee980497e4ba87d18e29d445fbd25d06d12223ee54a4f00,"Соціокомунікативна . Діяльність корпоративних медіа має видимий соціальний підтекст , притаманний усій системі масових комунікацій .",[]
d8591ff8dc88df7b44ed1b0097ac229bc1d28092fd35640fb28272de0fc6f962,"Її кінцевими наслідками є встановлення діалогу між компанією та суспільством , гармонізація особистих і корпоративних інтересів у колективі , мотивація та сприяння самоідентифікації працівників , поліпшення виробничих стосунків тощо .",[]
908f1dc6a7825d565bded82430d88bb3e4a5a4d8068abcc1ebf8de64769991aa,"Так , внутрішні видання здатні змінювати громадську думку та людські стосунки на рівні професійних громад , бізнесово-виробничих спільнот .",[]
28fea30cd47c873774e32ad3486ebce790edf8c713393566ea9d40858d66268b,Соціальна специфіка функціонування фірмової періодики полягає і в певній інформаційно-роз’яснювальній діяльності .,[]
364f13ae135843891b1e50c0111e94fc3d1c3c1a989f0628eebaecf618c11a2a,"Ось чому цей різновид мас-медіа варто розглядати як засіб посилення суспільного діалогу , встановлення взаєморозуміння , оптимізації інформаційного поля всередині колективу та організації загалом , тобто як інструмент врегулювання соціального боку економічних відносин .",[]
f6cfefbf17c741d51650968de13abda2752b6b8b521cf803240a1ffef2c3bde7,3 .,[]
0a0f4e2be8c8dfd583434c4d077914fd972475eafbc8f02f64ab4acb4afc298f,"Корпоративно-комунікативна . Корпоративні медіа — важлива системна частина комунікативних процесів , без яких неможливо уявити сучасну бізнес-організацію .",[]
0fcb06c0dd5758a5429e75bf4e19e8b3d340804528f56919fa4edea43317f528,"У порівняно невеликих колективах повідомлення можуть передаватися із вуст у вуста , однак у великих професійних громадах , де кількість співробітників сягає тисяч осіб , а структурні підрозділи розташовані на значній відстані один від одного , організувати обмін думками і встановити взаєморозуміння допомагають внутрішні ЗМІ . Компанія ж використовує це бажання працівника бути причетним до певної організації , що має відоме ім'я , статус лідера , незаплямовану репутацію , як одну із можливостей його нематеріального заохочення .","[{""label"": ""MISC"", ""text"": ""ЗМІ""}]"
22b289b016c6a6aafba588c355fba1f96444770976939dd2bb1981a87dd006db,Комплекс спільних переконань ( його ще називають корпоративною культурою або корпоративною філософією ) консолідує інтереси учасників комерційної організації та водночас є виявом їхніх поглядів .,[]
8ff7ca56f3b0f23e0e9b81099e6d3ba67b821eeffd079a5637985372eaa8fd02,4 .,[]
5654f7ed48ce9839fbcf8c7b3a35b40a14656121a7f4d593459e30d5d42826ca,"Бізнесова . Очевидно , що діяльність фірмових медіа можна назвати рекламно-інформаційним та PR-супроводом бізнесу .",[]
c09f1bb89d12252293078174e7b3df78f65065608369c2992ea6520d76adb803,"Ефективність зовнішніх видань може вимірюватися на підставі того , скільки за його допомогою вдалося залучити нових споживачів і скільки утримати наявних клієнтів .",[]
811e204ef81c2c483c762e6eeeb4c5f8db978b1589771b1c893dcb3c37a2e624,"Роз'яснюючи та популяризуючи на шпальтах внутрішнього видання політику компанії , цілі та принципи її роботи , можна домогтися підвищення лояльності працівників , а отже , загальної ефективності всіх процесів у компанії , формування її довгострокових конкурентних переваг .",[]
ab6778de12f8e2db3626c0e7234571fc721ed525d23a6b163cb5bf7179f3befc,"Іншими словами , реалізація бізнесової функції корпоративних медіа полягає в тому , наскільки успішно вони допомагають компанії заробляти кошти та наскільки збільшують вартість самого бізнесу .",[]
0c6b6a6e2f680aa66d78562ab4d5f3a314e84dbcc2c3c9b83139a70a54043a1d,"Отже , зі сказаного можна зробити висновок , що фірмова періодика поєднує широкий діапазон функцій як локального прикладного характеру , пов’язаного з підвищенням ефективності бізнесової , управлінської , маркетингової , рекламної та PR-діяльності на рівні окремих компаній , так і глобального соціокомунікативного впливу в масштабах усього суспільства , пов’язаного з інформуванням , роз’яснюванням , вихованням , формуванням психологічного клімату тощо . 2",[]
32d8b707e62863e8f12926f35e2ddd4e84cab3acc52ea5c31e6a6021ad7fdcd5,"Книга — це те , заради чого хочеться прокидатися щоранку , єдине джерело мотивації .",[]
399c473d2c219024436ef43cf195ab53d52d2362afe71dc4f564628a47cd345d,"Коли вже не лишилося жодних інших бажань , коли всі загальнодоступні , не раз випробувані втіхи здаються надто амбівалентними або дешевими , тоді книга , яка пишеться , дає сили бути справжньо , бути собою .",[]
2bede192f0b4875e2bd70219dd7d5c54b456c75c6c3efd83068bffe83b35bddf,"Не пригадую , хто сказав ; доки ти пишеш книгу , з тобою не станеться нічого лихого .",[]
1a155bcd94c2d4bc30190bcc98763a2440986d708d0a7d3390b82067f0d344b3,"Думаю , однією з головніших причин твоєї затяжної хвороби , що врешті закінчилася смертю , було якраз те , що ти більше не міг писати .",[]
7ef1377fc674e37bb65fff1bb4e1315c8e7a33a451434127de922a912bc8c961,"Це вміння твоє відмирало поволі , ти ще хапався за самописку , клав перед собою чистий аркуш паперу — але , навіть просидівши за письмовим столом годину або й дві , вставав знесиленим , а аркуш залишався порожнім .","[{""label"": ""PERIOD"", ""text"": ""годину або й дві""}]"
1533fab7a5da53b4786534655d27d8a03a31270d47ee54a96b333a21493d6507,"Або , що значно страшніше , на ньому тулилися незграбні старечі каракулі , анітрохи не схожі на той дивовижно гарний почерк , що був у тебе протягом усього попереднього життя , почерк , яким ти писав свої повісті і листи мені до війська ; один погляд на ті красиві , стрункі літери , підносив дух .",[]
d2aaa7fc38865fb8de77a4a7be7bb5655864a21fcc7df90242d0698eaf7e3cfb,"Ще не читаючи листа , я просто милувався твоїм летючим письмом , стрімким , як потік , схожим на тебе , схожим на течію повноводого Сейму , яка підхоплює , несе , граючись , бореться з тобою , як ото ангел боровся з Яковом ...","[{""label"": ""LOC"", ""text"": ""Сейму""}, {""label"": ""PERS"", ""text"": ""Яковом""}]"
21c3472e2eae95ef021a1167755214efb7ea3adaa83a498b70478c32c45ccbae,"Коли тебе не стало , я теж перестав писати .",[]
20534d77394910de0dab01b45147c15531bc44fad7745be663552816e3f872be,"Спочатку я цього й не помітив , настільки був прибитий горем .",[]
821215036e5d58b97820840cc87f093cf2e2e45686dab7d0be5e8146b256326d,"Потім , коли трохи розвиднілося , років через три , я не міг повірити в те , що більше не можу писати .","[{""label"": ""DATE"", ""text"": ""років через три""}]"
841347cd1330f5dc0c9acf1368f960bc4f5d2bcd15f39c317c3f5e0bd6e0f294,"На відміну від тебе , в мене нічого не боліло , часто з’являлися якісь гарні , цікаві ідеї , я багато читав — і це надихало .",[]
015fefb643849c6673782b11cd901cf90b50143d09212dcd4c1b7acd0af33838,"Однак варто було сісти до письмового столу , як я — спершу недовірливо , потім майже жахаючись — переконувався , що не можу видушити з себе жодного слова .",[]
11daed8971b309ea8cf70d58be584e66b26e499b6177fdb501fc9fd8d68f847a,Я був як ти .,[]
1ed0d9a4128e06ae8a45201bdbaaaaef1f95e2240c8e0206765f0b0ad3d4a4ac,Це був твій посмертний дар .,[]
ccc896965efa548ee17ec2e81899de35f143dc839c43c1c473edaace749a6f46,Є така фреска в Кампосанто : гурт молодих людей верхи на конях повертається з полювання .,"[{""label"": ""LOC"", ""text"": ""Кампосанто""}]"
fe010840e093012cb28e97f561c3488c9292ba6f0f3528fe927fe8150206ca90,Аж тут перед їхніми очима з’являється розрита могила з трьома мерцями у трунах .,[]
dcfa828c62711bd8bd8ef5f31f047d795f38ea8c34a73bcce59d420eef6e4c5f,"Вони вже розкладаються , від них тхне .",[]
d20960a3274330cff881007b499d7b121880b487b5cea4a9b69ed2174107d14a,"Вершники — хто з огидою , хто замислено — дивляться на моторош тліну , дехто затуляє носа , щоб не чути смороду .",[]
6da497d4724ce3a9263acb777695565e3130d4ce0ed0bf71dd1a83fc5c5a9ced,"Позаду могили стоїть старий чернець , тримаючи сувій , на якому написано послання мертвих живим : « Ми були , як ви ; ви будете , як ми » .",[]
c5b43db671c5272b25c63f5e7ffa5aafa5daf3bcf7b8d106a44ed7895c535c93,"Свіжі вересневі ранки , лісові стежки , притрушені хвоєю , таємничі води Орлового озера , рядки улюблених поетів , які самі спливають у пам’яті , розписи на стінах і слова складених у юності пісень — весь цей роками назбируваний скарб плавно й невідворотно опускається на дно фатального океану .","[{""label"": ""LOC"", ""text"": ""Орлового озера""}, {""label"": ""PERIOD"", ""text"": ""роками""}]"
5008c88bd70ea1893b463aed2b817f7c696d9e082728084623f4120f832ae99e,"Суха соломинка самописки , за яку безпорадно чіпляються пальці .",[]
808e15a474d759c4351402a430619b0d8bb2c0d25c1a95bcc7ee666fcd4b8fd7,З,[]
